actor	1941	Cook Jr., Elisha	The Patron
actor	1941	Deezen, Eddie	Herbie Kazlminsky
actor	1941	Di Cicco, Bobby	Wally Stephens
actor	1941	Flaherty, Joe	Raoul Lipschitz
actor	1941	Frederickson, Gray	Lt. Bressler
actor	1941	Frishman, Brian	USO Goon
actor	1941	Fuller, Samuel	Interceptor Commander
actor	1941	Gorman, Brad	USO Nerd
actor	1941	Hamilton, Murray	Claude Crumn
actor	1941	Hardin, Jerry	Map Man
actor	1941	Houston, Robert	Maddox's Soldier
actor	1941	Lander, David L.	Joe
actor	1941	Landis, John	Mizerany
actor	1941	Lang, Perry	Dennis DeSoto
actor	1941	Lee, Christopher	Capt. Wolfgang von Kleinschmidt
actor	1941	Marias, Mark	Dept. Store Kid
actor	1941	Matheson, Tim	Capt. Loomis Birkhead
actor	1941	McKean, Michael	Willy
actor	1941	McKee, John	Reporter
actor	1941	McMillan, Ronnie	Winowski
actor	1941	McNally, Dan	Reporter
actor	1941	McNamara, J. Patrick	Pvt. DuBois
actor	1941	McRae, Frank	Pvt. Ogden Johnson Jones
actor	1941	Mifune, Toshir�	Cmdr. Akiro Mitamura
actor	1941	Miller, Dick	Officer Miller
actor	1941	Mitamura, Akio	Ashimoto
actor	1941	Mond, Steven	Gus Douglas
actor	1941	Oates, Warren	Col. 'Madman' Maddox
actor	1941	Olkewicz, Walter	Hinshaw
actor	1941	Pickens, Slim	Hollis P. Wood
actor	1941	Rourke, Mickey	Reese
actor	1941	Rydbeck, Whitney	Daffy
actor	1941	Scott, Donovan	Kid Sailor
actor	1941	Shimizu, Hiroshi	Ito
actor	1941	Silva, Geno	Martinez
actor	1941	Stack, Robert	Maj. Gen. Joseph W. Stilwell
actor	1941	Stander, Lionel	Angelo Scioli
actor	1941	Taylor, Dub	Mr. Malcomb
actor	1941	Tennant, Andy	Babyface
actor	1941	Thibeau, Jack	Stilwell Aide
actor	1941	Thompson, Galen	Stilwell Aide
actor	1941	Verroca, Frankie	USO Nerd
actor	1941	Voldstad, John	USO Nerd
actor	1941	Williams, Treat	Cpl. Chuck 'Stretch' Sitarski
actor	1941	Wolfington, Iggie	Meyer Mishkin
actor	1941	Zika, Christian	Stevie Douglas
movie	28 Days	2000
director	28 Days	Thomas, Betty
actress	28 Days	Bullock, Sandra	Gwen Cummings
actress	28 Days	Chang, Christina	Bridesmaid
actress	28 Days	Chapman, Judith	Deirdre in Soap Opera Cast
actress	28 Days	Davis, Suzanne	Darian in Soap Opera Cast
actress	28 Days	Deane, Meredith	Young Lily
actress	28 Days	Jean-Baptiste, Marianne	Roshanda
actress	28 Days	Krebs, Susan	Evelyn
actress	28 Days	Ladd, Diane	Bobbie Jean
actress	28 Days	Martindale, Margo	Betty
actress	28 Days	McGuire, Maeve	Groom's Mother
actress	28 Days	Pankow, Joanne	Saleslady/Night Tech
actress	28 Days	Payne, Kathy	Aunt Helen
actress	28 Days	Perkins, Elizabeth	Lily
actress	28 Days	Pratt, Wendee	Elaine
actress	28 Days	Reilly, Corinne	Vanessa
actress	28 Days	Ruscio, Elizabeth	Mom
actress	28 Days	Scharf, Katie	Young Gwen
actress	28 Days	Skye, Azura	Andrea
actress	28 Days	Sutton, Lisa	Dr. Stavros
actress	28 Days	Warrick, Brittani	Traci
actress	28 Days	Yates, Suellen	Andrea's Mother
actor	28 Days	Anagnos, Bill	NY Cabdriver
actor	28 Days	Armstrong, Jack	Falcon in Soap Opera Cast
actor	28 Days	Buscemi, Steve	Cornell
actor	28 Days	Byrd, Dan	Older Boy at Gas Station
actor	28 Days	Dolan, Andrew	Groom
actor	28 Days	Dooly, Mike	Marty
actor	28 Days	Kelley, Elijah	Darnell
actor	28 Days	McCary, Rod	Dr. Griffin Hartley in Soap Opera Cast
actor	28 Days	Moody, Jim	Chauffeur
actor	28 Days	Mortensen, Viggo	Eddie Boone
